Article 1,Article 2,Heading 1,Heading 2,Cosine Similarity,Fuzzy Similarity,Final Score,Status
3,21,Asian shares edge lower as Fed rate talk reviv,Asian shares rise dollar nurses losses after jobs ,0.51,0.47,0.49,🟡 Needs Review
2,13,oil prices up in asi,oil drops after yemen inspired gai,0.44,0.43,0.43,🟡 Needs Review
38,46,Cook ready for Pakistan after Sri Lanka su,England call up uncapped trio for Sri Lanka T20,0.38,0.43,0.39,🟢 Safe
40,45,New Zealand record dramatic win over Aussi,Pakistan win toss opt to field in T20 series decider,0.38,0.41,0.39,🟢 Safe
3,29,Asian shares edge lower as Fed rate talk reviv,Gold slips Brexit tensions ease stocks rally,0.36,0.44,0.39,🟢 Safe
21,29,Asian shares rise dollar nurses losses after jobs ,Gold slips Brexit tensions ease stocks rally,0.36,0.44,0.38,🟢 Safe
24,36,Economic Survey Pakistan misses GDP targ,punjab govt presents rs 1.45tr budg,0.35,0.45,0.38,🟢 Safe
13,32,oil drops after yemen inspired gai,Iran says will resist curbs on oil output as part of global ,0.34,0.43,0.37,🟢 Safe
28,45,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Pakistan win toss opt to field in T20 series decider,0.34,0.4,0.36,🟢 Safe
28,40,Boult strikes hurt Zimbabwe after New Zealand build massive lead,New Zealand record dramatic win over Aussi,0.3,0.43,0.34,🟢 Safe
42,43,Third of Britons to tighten belts over Brexit ,British shoppers begin feel post Brexit pi,0.31,0.36,0.32,🟢 Safe
38,41,Cook ready for Pakistan after Sri Lanka su,Hartley Wilson in England Womens squad for Pakistan ODI,0.28,0.43,0.32,🟢 Safe
14,15,Narine sinks Proteas in West Indies r,De Villiers appointed South Africa Test captai,0.28,0.4,0.32,🟢 Safe
4,14,Sri Lanka beat Australia 229 runs clinch seri,Narine sinks Proteas in West Indies r,0.27,0.4,0.31,🟢 Safe
29,43,Gold slips Brexit tensions ease stocks rally,British shoppers begin feel post Brexit pi,0.26,0.42,0.31,🟢 Safe
4,30,Sri Lanka beat Australia 229 runs clinch seri,Chandimal century Sri Lanka frustrate England,0.27,0.4,0.31,🟢 Safe
30,38,Chandimal century Sri Lanka frustrate England,Cook ready for Pakistan after Sri Lanka su,0.27,0.36,0.3,🟢 Safe
30,46,Chandimal century Sri Lanka frustrate England,England call up uncapped trio for Sri Lanka T20,0.28,0.36,0.3,🟢 Safe
15,38,De Villiers appointed South Africa Test captai,Cook ready for Pakistan after Sri Lanka su,0.25,0.41,0.3,🟢 Safe
33,48,strike piles up trade cargoes prolonged stand off feared,Trade Policy Framework 2015 18 to be announced ,0.27,0.37,0.3,🟢 Safe
41,46,Hartley Wilson in England Womens squad for Pakistan ODI,England call up uncapped trio for Sri Lanka T20,0.25,0.44,0.3,🟢 Safe
4,38,Sri Lanka beat Australia 229 runs clinch seri,Cook ready for Pakistan after Sri Lanka su,0.25,0.42,0.3,🟢 Safe
18,34,WB acknowledges Pakistans growing economy,Pakistan must speed up reform of energy sector World B,0.29,0.31,0.3,🟢 Safe
2,32,oil prices up in asi,Iran says will resist curbs on oil output as part of global ,0.25,0.42,0.3,🟢 Safe
4,28,Sri Lanka beat Australia 229 runs clinch seri,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.24,0.43,0.29,🟢 Safe
21,43,Asian shares rise dollar nurses losses after jobs ,British shoppers begin feel post Brexit pi,0.24,0.43,0.29,🟢 Safe
24,34,Economic Survey Pakistan misses GDP targ,Pakistan must speed up reform of energy sector World B,0.22,0.44,0.29,🟢 Safe
14,40,Narine sinks Proteas in West Indies r,New Zealand record dramatic win over Aussi,0.25,0.4,0.29,🟢 Safe
14,41,Narine sinks Proteas in West Indies r,Hartley Wilson in England Womens squad for Pakistan ODI,0.22,0.42,0.28,🟢 Safe
6,8,Serena beats Sharapova to reach semi fi,Hamilton back in the hunt as F1 heads to Baku,0.22,0.41,0.28,🟢 Safe
16,38,Former England captain Carr dead at 89,Cook ready for Pakistan after Sri Lanka su,0.22,0.41,0.28,🟢 Safe
4,40,Sri Lanka beat Australia 229 runs clinch seri,New Zealand record dramatic win over Aussi,0.22,0.43,0.28,🟢 Safe
